Darija,English,MSA
واخا عندي السخانة والتهاب الحلق، ولكن حاس باللي راني مزيان ونقدر نخدم الخدمة ديالي من بعيد.,"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.","""بصرف النظر عن الحمى وألم الحلق ، أشعر أنني في حالة جيدة وأكون في حالة جيدة للقيام بعملي عن بعد. """""""
الاستناد لهاذ الحفرية كيعني أن الانشقاق وقع بكري بزاف على اللي كان متوقع يلا رجعنا للدليل الجزيئي.,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.","""بناءً على هذا الحفري ، هذا يعني أن الانقسام أقدم بكثير مما كان متوقعًا من خلال الأدلة الجزيئية."""""""
"وقال السيد كوستيلو: ""يلا ولات القضية تجارية، خاصنا نمتكله. بمعنى، أنه مكاينش اعتراض من حيث المبدأ على الطاقة النووية"".","""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","""إذا أصبح تجاريًا ، يجب أن نحصل عليه ، وهذا يعني أنه لا يوجد اعتراض مبدئي على الطاقة النووية ،"" قال كوستيلو."""
"قال المتحدث باسم الحكومة: ""من المهم دابا سواءً من منظور الصّحة العامّة أو من منظور العدالة الجنائية أنه يدوز التّشريع في أسرع وقت ممكنٍ.""","""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.","""من المهم الآن من وجهة نظر الصحة العامة والعدالة الجنائية أن يتم سن التشريع في أقرب وقت ممكن ،"" قال متحدث باسم الحكومة."""
غادير لحال سلوك دالما. هي شفافة تماما بحال الما.,"""It's going to behave like water. It's transparent just the way water is.","""سوف تتصرف مثل الماء. إنها شفافة تماماً كما هو الحال مع الماء."
لحسن الحظ أنه حتى حاجة ماوقعات ليا ولكن شفت واحد المشهد بشع اللي الناس حاولو يهرسو النوافذ باش يخرجو.,"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.",لحسن الحظ لم يحدث لي شيء ، لكنني رأيت مشهدًا مروعًا ، حيث حاول الناس كسر النوافذ من أجل الخروج.
"""أوراق بناما"" هو مصطلح تيرجع على المليون وثيقة اللي سربتها شركة المحامات موساك فونسيكا للصحافة فالربيع د2016.","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""أوراق بنما"" هو مصطلح شامل لحوالي عشرة ملايين وثيقة من شركة المحاماة البنمية موساك فونسيكا، التي تسربت إلى الصحافة في ربيع عام 2016."
يقدر شي وحدين مايتافقوش ولكن ماشي سوقي.,"""Some may not agree but I don't care.",قد لا يوافق البعض، لكنني لا أهتم.
"""كيما قال سيبيورن فواحد المؤثمر صحفي"": شكرا لهادوك لي وقفو معا واحد مسجون بحالي.","""Thanks for those who supported a convict like me,"" Siriporn was quoted as saying at a press conference.","""شكرا لأولئك الذين دعموا سجين مثلي""، قال سيريبورن في مؤتمر صحفي."
"""كاميرات لمراقبة غتسيفط اشارات قوية لناس اللي كيخدمو مع الحيوانات بأن السلامة ديالها هي الاولويه لقصوي"".","""The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""","""السي سي سي سي سي بالتأكيد إرسال إشارة قوية إلى أولئك الأشخاص الذين يعملون مع الحيوانات أن رفاهتهم هي من أعلى الأولويات."""""""
"""قالت الأم بلّي كنّا فواحد الصدمه"".","""We were all simply in shock,"" the mother stated.","""كلنا كنا ببساطة في حالة صدمة""، قالت الأم."
"قال أمير خان اللي شد الميدالية الفضية في الأولمبياد ديال عام 2004، ""من نظري أن العيالات مخصهاش تحارب. وهاذي وجهة نظري.""","2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion.""","""قال الفائز بالميدالية الفضية في الألعاب الأولمبية لعام 2004 أمير خان: """"في أعماقي أعتقد أن النساء لا يجب أن يقاتلن، هذا رأيي."""""""
جيسوس اللي عنده 21 عام مشى لمانشستر سيتي العام اللي فات في يناير 2017 وكان جاي من نادي بالميراس البرازيلي بمقابل 27 مليون جنيه إسترليني.,21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,انضم جيسوس البالغ من العمر 21 عامًا إلى مانشستر سيتي في يناير 2017 من النادي البرازيلي بالميراس مقابل رسوم تبلغ 27 مليون جنيه إسترليني.
ومن بعد ما دازت 250 عام، ولات غينيس شركةً عالميةً كتربح أكثر من 10 مليار ديال الأورو (تقريبا 14.7 مليار دولار أمريكي كل عام.,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",بعد 250 عامًا ، نمت غينيس إلى شركة عالمية تحقق أكثر من 10 مليارات يورو (14.7 مليار دولار أمريكي) كل عام.
فيدال الي عندو 28 عام جا للبرصا هاذي ثلاثة ديال المواسم من بعد ما كان ف إشبيلية.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",انضم فيدال البالغ من العمر 28 عامًا إلى بارسا قبل ثلاثة مواسم ، من سيفيليا.
800 ميل من نظام خط أنابيب ترانس ألاسكا تسدات من بعد ما تسربات آلاف البراميل من النفط الخام ف الجنوب ديال مدينة فيربانكس ف ولاية ألاسكا.,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",تم إغلاق 800 ميل من نظام أنابيب ترانس ألاسكا بعد تسرب آلاف البراميل من النفط الخام جنوب فيربانكس ، ألاسكا.
