idx,English,Darija,MSA,Checkbox,Darija corrected,Observations
0,"They're hiding something, I'm sure!","هوما مخبّيين شي حاجة, أنا متيقّن!",إنهم يخفون شيئًا، أنا متأكد!,TRUE,,
1,It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.,من الواضح أنهم يحاولون الحفاظ على هدوئهم.,TRUE,,
2,the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم موريحين بزّاف.,الفنادق لا تبدو مريحة جدًا.,TRUE,,
3,he is probably about to be laid off by head office!,غاليبان غايجرّيو عليه من لخدما!,من المحتمل أن يتم تسريحه من قبل الإدارة العليا!,FALSE,غاليبان غايجرّيو عليه من اللفوق,
4,Of course he's depressive!,طابعان راه مكتاءب!,بالطبع هو مكتئب!,TRUE,,
5,I think I'm going to leave!,تايبالّيا غانمشي!,أعتقد أنني سأغادر!,TRUE,,
6,hand me that bag.,أرا ليا داك ساك.,مد لي ذلك الحقيبة.,TRUE,,
7,I'm going to be sick!,غانمرض!,سأمرض!,TRUE,,
8,I always knew she wanted us dead,كنت ديما عارف أنّاها بغاتنا نموتو,لطالما علمت أنها تريدنا موتى,TRUE,,
9,I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا,أود أن أعرف كم من الوقت تبقى لي للدراسة,TRUE,,
10,"We will have an exam, if that is what you mean","غايكون عندنا متيحان, ألا هادشي اللي قصدتي",سنكون لدينا امتحان، إذا كان هذا ما تقصده,TRUE,,
11,"Next week, on Thursday","السيمانا الجايا, نهار لخميس",الأسبوع القادم، يوم الخميس,TRUE,,
12,We will cover all the material up to next Tuesday,غانغطّيو ڭاع لماواد تال تلات الجاي,سنغطي جميع المواد حتى يوم الثلاثاء القادم,TRUE,,
13,so start studying soon!,إوا بدا لقرايا بكري!,فابدأ الدراسة قريبًا!,TRUE,,
14,"Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?",حسنًا، إذا كان لدي أي أسئلة، هل يمكنني إرسالها إليكم عبر البريد الإلكتروني؟,TRUE,,
15,But I will only answer them during working hours,والاكين غانجاوب عليهوم فل أوقات ت لخدما,ولكن سأجيب عليهم فقط خلال ساعات العمل,TRUE,,
16,so please don't send them late on Wednesday evening,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,فضلاً لا ترسلهم متأخراً مساء الأربعاء,TRUE,,
17,"Thank you, ma'am","شوكران, أ لالّا",شكرًا لكِ سيدتي,TRUE,,
18,what is that meant to be?,أش كايعني هادشي?,ما المقصود من ذلك؟,TRUE,,
19,how is your book going to help me calm down,كيفاش كتابك غايعاونّي نتهدّن,كيف سيساعدني كتابك على الهدوء,TRUE,,
20,I'm talking about Marrakech,تانهضر علا مرّاكش,أنا أتحدث عن مراكش,TRUE,,
21,we're both scared of flying,بجوجنا تانخافو من الطاياران,نحن كلاً منا خائف من الطيران,TRUE,,
22,isn't it!,أولّا!,أليس كذلك؟,TRUE,,
23,and since when have sleeping helped anyone?!,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?!,ومنذ متى كان النوم مفيدًا لأحد؟!,FALSE,أُ منيمتا بسّالاما النعاس كان كايعاون شي واحد?!,
24,I knew it!,كنت عارفها!,كنت أعلم ذلك!,TRUE,,
25,oh god!,أ ربّي!,يا الله!,TRUE,,
26,it's all your fault,هادشي كولّو لغالاط ديالك,كله بسببك,TRUE,,
27,And in case of accidents we're supposed to do what?,و فحالات وقعات كسيدا أش خسّنا نديرو?,وفي حالة وقوع حوادث ماذا يفترض بنا أن نفعل؟,TRUE,,
28,why did you bring a tree onto the plane?!,لاش جبتي معاك شجرا ل طيّارا?!,لماذا أحضرت شجرة إلى الطائرة؟!,TRUE,,
29,Are you crazy!,واش نتي حمقا!,هل أنت مجنون!,TRUE,,
30,I suggest you listen more and talk less,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,أقترح عليك أن تستمع أكثر وتتكلم أقل,TRUE,,
31,I have to go now,خسّني نمشي دابا,يجب أن أذهب الآن,TRUE,,
32,and how long have you been in charge?,أُ شحال هادا باش نتا مكلّف?,ومنذ متى وأنت المسؤول؟,TRUE,,
33,"I said celery, can't you listen?","ڭلت ليك لكرافس, واش ماتاتسمعش",قلت كرفس، ألا تستطيع الاستماع؟,TRUE,,
34,"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?,هل يمكنني إضافة بعض الكمثرى أيضًا؟,TRUE,,
35,"Okay, I'm with you","لايسخر, أنا معاك",حسنًا، أنا معك,TRUE,,
36,It's been ten years,وا راه عشر سنين هادي,لقد مضى عشر سنوات,TRUE,,
37,What do you want with it?,أش بغيتي معاه?,ماذا تريد بها؟,FALSE,أش بغيتي بها؟,
38,please could you just close the window,عافاك واخا تسدّ شرجم معاك,من فضلك، هل يمكنك أن تغلق النافذة,TRUE,,
39,just get on and don't talk so much,وا هير تلقنا أُ باراكا من لهضرا,فقط اركب ولا تتكلم كثيرًا,FALSE,وا هير ركب أُو باراكا من لهضرا,
40,Don't you think?,واش ماتاتفكّرش?,ألا تعتقد؟,FALSE,ما كضنش؟,
41,she is getting married next week.,راه غاتجووّج سيمانا الجايّا.,ستتزوج الأسبوع القادم.,TRUE,,
42,They got married very young,تجووّجو صغار بزّاف,تزوجا في سن مبكرة جدًا,TRUE,,
43,He is married to a lawyer in Tangier.,هوا مجووّج ب موحاميا من طانجا,إنه متزوج من محامية في طنجة.,TRUE,,
44,Do not say,ماتڭولش,لا تقل,TRUE,,
45,Now he spends a lot of time home,دابا كايدووّز بزّاف تلوقت فدّار,الآن يقضي الكثير من الوقت في المنزل,TRUE,,
46,if that is what you mean,ألا كان هادشي اللي كاتقصد,إذا كان هذا ما تقصده,TRUE,,
47,they would traditionally be boiled and served with vinegar,عاداتان غايتغلاو ويتحطّو معا لخلّ,تقليدياً، كان يتم سلقها وتقديمها مع الخل,TRUE,,
48,how big is it?,ڭدّاش?,ما مدى كبره؟,TRUE,,
49,is it big?,واش كبير?,هل هو كبير؟,TRUE,,
50,we are not preparing an italian meal,ماغانطيّبوش ماكلا طاليانيا,نحن لا نُعِد وجبة إيطالية,TRUE,,
51,this will be a proper Moroccan meal,هادا غايكون طاباق مغريبي حورّ,سيكون هذا وجبة مغربية لائقة,TRUE,,
52,"Beets are good, but it might give you a sweet taste.","لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو",البنجر جيد، ولكن قد يعطيك طعمًا حلوًا.,TRUE,,
53,long ones of course,الطوال ب طابيعت لحال,الطويلة بالطبع,TRUE,,
54,"Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?",هل تريد بطاطس مقلية معهم أيضًا؟,TRUE,,
55,how about going to the cinema?,أُ أش بالّيك نمشيو ل سينما?,ما رأيك في الذهاب إلى السينما؟,TRUE,,
56,Unless you have anything else you would like to add,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,إلا إذا كان لديك أي شيء آخر تود إضافته,TRUE,,
57,enjoy!,تبرّع ليا معا راسك!,استمتع!,TRUE,,
58,do not hesitate to come back to me,ماتردّدش ترجع عندي,لا تتردد في العودة إليّ,TRUE,,
59,"Now, I think I've got everything we need to solve this problem",دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل,الآن، أعتقد أنني حصلت على كل ما نحتاجه لحل هذه المشكلة,TRUE,,
60,I was going to suggest that too,كنت غانقتارح هادشي تاهووا,كنت سأقترح ذلك أيضًا,TRUE,,
61,let me tell you something,خلّيني نڭولّيك واحد لحاجا,دعني أخبرك بشيء,TRUE,,
62,sometimes we laugh sometimes we cry,بعد لمرّات تانضحكو بعد لمرّات تانبكيو,أحيانًا نضحك وأحيانًا نبكي,TRUE,,
63,"I'll tell you one thing, I like it!","غانڭولّيك واهد لحاجة, كاتعجبني!",سأخبرك بشيء واحد، أنا أحبه!,FALSE,"غانڭولّيك حاجة وحدا, كايعجبني!",
64,"Yeah, I'm gonna do that, too.","وايه, غاندير هادشي تاهوا",نعم، سأفعل ذلك أيضًا.,TRUE,,
65,just before going to bed,هي قبل مانمشي النعسّ,قبل الذهاب إلى الفراش مباشرة,TRUE,,
66,please respect the rules,عافاك حتارم لقاواعيد,يرجى احترام القواعد,TRUE,,
67,I'm sure it'll be better soon.,أنا متءكّد غاتحسّن قاريبان,أنا متأكد أن الأمور ستتحسن قريباً.,TRUE,,
68,As you suggested,كيمّا قتارحتي,كما اقترحت,TRUE,,
69,basically you are under stress now,أساسان نتا تحت الضاغط دابا,في الأساس، أنت تحت ضغط الآن,TRUE,,
70,which happens to many people these days,هادشي تايوقع ل عاداد من الناس هاد ليامات,الذي يحدث للعديد من الناس في هذه الأيام,TRUE,,
71,Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك,في الوقت نفسه، ليس لديك مشكلة في دماغك,TRUE,,
72,as you say,كيمّا كاتڭول,كما تقول,TRUE,,
73,"Yes, thank you very much for your advice.","أه, شوكران بزّاف علا الناصيحا ديالك.",نعم، شكراً جزيلاً على نصيحتك.,TRUE,,
74,I do think that could be a solution,تانضنّ أنّا هادشي إقدر إكون حلّ,أعتقد أن ذلك يمكن أن يكون حلاً,TRUE,,
75,or at least a step in the right direction,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,أو على الأقل خطوة في الاتجاه الصحيح,TRUE,,
76,I'm sorry,كانعتادر,أنا آسف,TRUE,,
77,we don't know much about them,ماكانعرفوش عليهوم بزّاف,لا نعرف الكثير عنهم,TRUE,,
78,Are there any other managers on her level?,واش كاينين موديرات خرين فنفس لموستاوا ديالها,هل يوجد مديرون آخرون على مستواها؟,TRUE,,
79,do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,هل تعرف أشخاصًا يمكنك التحدث معهم بسهولة؟,TRUE,,
80,I'd say yes,كانڭول أه,سأقول نعم,TRUE,,
81,"Ah yes, that is a lot of people","واييه, بزّاف ديال الناس",آه نعم، هذا عدد كبير من الناس,TRUE,,
82,We're about 50.,حنا شي 50,نحن حوالي الخمسين.,TRUE,,
83,we were about twenty people,كنّا شي عشرين واحد,كنا حوالي عشرين شخصًا,TRUE,,
84,maybe one of them,إمكن شي واهد فيهوم,ربما أحدهم,TRUE,,
85,I see!,معقولا,أرى!,TRUE,,
86,but I don't have anything to celebrate,والاكين أنا ماعندي التا حاجا نحتافل بيها,ولكن ليس لدي ما أحتفل به,TRUE,,
87,I'm just an employee among others,أنا راه غير واحد من لخدّاما,أنا مجرد موظف بين الآخرين,TRUE,,
