,Darija,English,MSA
0,"هوما مخبّيين شي حاجة, أنا متيقّن!","They're hiding something, I'm sure!",إنهم يخفون شيئًا، أنا متأكد!
1,باينا هوما تايحاولو إبقاو مبرّدين.,It's obvious they're trying to keep their cool.,من الواضح أنهم يحاولون الحفاظ على هدوئهم.
2,لوطيلات مابايناش فيهوم موريحين بزّاف.,the hotels don't seem very comfortable.,الفنادق لا تبدو مريحة جدًا.
3,غاليبان غايجرّيو عليه من اللفوق,he is probably about to be laid off by head office!,من المحتمل أن يتم تسريحه من قبل الإدارة العليا!
4,طابعان راه مكتاءب!,Of course he's depressive!,بالطبع هو مكتئب!
5,تايبالّيا غانمشي!,I think I'm going to leave!,أعتقد أنني سأغادر!
6,أرا ليا داك ساك.,hand me that bag.,مد لي ذلك الحقيبة.
7,غانمرض!,I'm going to be sick!,سأمرض!
8,كنت ديما عارف أنّاها بغاتنا نموتو,I always knew she wanted us dead,لطالما علمت أنها تريدنا موتى
9,بغيت نعرف شحال بقا ليا تلوقت باش نقرا,I'd like to know how much time I have left to study,أود أن أعرف كم من الوقت تبقى لي للدراسة
10,"غايكون عندنا متيحان, ألا هادشي اللي قصدتي","We will have an exam, if that is what you mean",سنكون لدينا امتحان، إذا كان هذا ما تقصده
11,"السيمانا الجايا, نهار لخميس","Next week, on Thursday",الأسبوع القادم، يوم الخميس
12,غانغطّيو ڭاع لماواد تال تلات الجاي,We will cover all the material up to next Tuesday,سنغطي جميع المواد حتى يوم الثلاثاء القادم
13,إوا بدا لقرايا بكري!,so start studying soon!,فابدأ الدراسة قريبًا!
14,"واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?","Okay, if I have any questions, could I email them to you?",حسنًا، إذا كان لدي أي أسئلة، هل يمكنني إرسالها إليكم عبر البريد الإلكتروني؟
15,والاكين غانجاوب عليهوم فل أوقات ت لخدما,But I will only answer them during working hours,ولكن سأجيب عليهم فقط خلال ساعات العمل
16,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,so please don't send them late on Wednesday evening,فضلاً لا ترسلهم متأخراً مساء الأربعاء
17,"شوكران, أ لالّا","Thank you, ma'am",شكرًا لكِ سيدتي
18,أش كايعني هادشي?,what is that meant to be?,ما المقصود من ذلك؟
19,كيفاش كتابك غايعاونّي نتهدّن,how is your book going to help me calm down,كيف سيساعدني كتابك على الهدوء
20,تانهضر علا مرّاكش,I'm talking about Marrakech,أنا أتحدث عن مراكش
21,بجوجنا تانخافو من الطاياران,we're both scared of flying,نحن كلاً منا خائف من الطيران
22,أولّا!,isn't it!,أليس كذلك؟
23,أُ منيمتا بسّالاما النعاس كان كايعاون شي واحد?!,and since when have sleeping helped anyone?!,ومنذ متى كان النوم مفيدًا لأحد؟!
24,كنت عارفها!,I knew it!,كنت أعلم ذلك!
25,أ ربّي!,oh god!,يا الله!
26,هادشي كولّو لغالاط ديالك,it's all your fault,كله بسببك
27,و فحالات وقعات كسيدا أش خسّنا نديرو?,And in case of accidents we're supposed to do what?,وفي حالة وقوع حوادث ماذا يفترض بنا أن نفعل؟
28,لاش جبتي معاك شجرا ل طيّارا?!,why did you bring a tree onto the plane?!,لماذا أحضرت شجرة إلى الطائرة؟!
29,واش نتي حمقا!,Are you crazy!,هل أنت مجنون!
30,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,I suggest you listen more and talk less,أقترح عليك أن تستمع أكثر وتتكلم أقل
31,خسّني نمشي دابا,I have to go now,يجب أن أذهب الآن
32,أُ شحال هادا باش نتا مكلّف?,and how long have you been in charge?,ومنذ متى وأنت المسؤول؟
33,"ڭلت ليك لكرافس, واش ماتاتسمعش","I said celery, can't you listen?",قلت كرفس، ألا تستطيع الاستماع؟
34,واخا نزيد شي بوعويد تاهوا?,"Can I add some pear, too?",هل يمكنني إضافة بعض الكمثرى أيضًا؟
35,"لايسخر, أنا معاك","Okay, I'm with you",حسنًا، أنا معك
36,وا راه عشر سنين هادي,It's been ten years,لقد مضى عشر سنوات
37,أش بغيتي بها؟,What do you want with it?,ماذا تريد بها؟
38,عافاك واخا تسدّ شرجم معاك,please could you just close the window,من فضلك، هل يمكنك أن تغلق النافذة
39,وا هير ركب أُو باراكا من لهضرا,just get on and don't talk so much,فقط اركب ولا تتكلم كثيرًا
40,ما كضنش؟,Don't you think?,ألا تعتقد؟
41,راه غاتجووّج سيمانا الجايّا.,she is getting married next week.,ستتزوج الأسبوع القادم.
42,تجووّجو صغار بزّاف,They got married very young,تزوجا في سن مبكرة جدًا
43,هوا مجووّج ب موحاميا من طانجا,He is married to a lawyer in Tangier.,إنه متزوج من محامية في طنجة.
44,ماتڭولش,Do not say,لا تقل
45,دابا كايدووّز بزّاف تلوقت فدّار,Now he spends a lot of time home,الآن يقضي الكثير من الوقت في المنزل
46,ألا كان هادشي اللي كاتقصد,if that is what you mean,إذا كان هذا ما تقصده
47,عاداتان غايتغلاو ويتحطّو معا لخلّ,they would traditionally be boiled and served with vinegar,تقليدياً، كان يتم سلقها وتقديمها مع الخل
48,ڭدّاش?,how big is it?,ما مدى كبره؟
49,واش كبير?,is it big?,هل هو كبير؟
50,ماغانطيّبوش ماكلا طاليانيا,we are not preparing an italian meal,نحن لا نُعِد وجبة إيطالية
51,هادا غايكون طاباق مغريبي حورّ,this will be a proper Moroccan meal,سيكون هذا وجبة مغربية لائقة
